Código INE:,Localidad:,Fecha:,Festividad:
50163000000,María de Huerva,,
50163000000,María de Huerva,,
,Marracos,01/08/2017,
,Marracos,25/11/2017,
50164000000,Mediana de Aragón,17/04/2017,Día de la Ermita
50164000000,Mediana de Aragón,26/07/2017,Santa Ana
50165000000,Mequinenza,18/09/2017,
50165000000,Mequinenza,26/12/2017,
50166000000,Mesones de Isuela,02/02/2017,
50166000000,Mesones de Isuela,03/02/2017,
50167000000,Mezalocha,29/04/2017,San Pedro Mártir
50167000000,Mezalocha,29/09/2017,San Miguel
,Mianos,06/05/2017,Virgen de Casterillo
,Mianos,26/07/2017,Santa Ana
50169000000,Miedes de Aragón,03/02/2017,San Blas
50169000000,Miedes de Aragón,12/05/2017,San Alejandro
50170000000,Monegrillo,17/04/2017,San Benito
50170000000,Monegrillo,26/07/2017,Santa Ana
50171000000,Moneva,,
50171000000,Moneva,,
50172000000,Monreal de Ariza,15/05/2017,
50172000000,Monreal de Ariza,13/10/2017,
50173000000,Monterde,16/08/2017,San Roque
50173000000,Monterde,23/09/2017,Virgen del Castillo
50174000000,Montón,,
50174000000,Montón,,
50175000000,Morata de Jalón,16/08/2017,San Roque
50175000000,Morata de Jalón,04/12/2017,Santa Bárbara
50176000000,Morata de Jiloca,,
50176000000,Morata de Jiloca,,
50177000000,Morés,,
50177000000,Morés,,
50178000000,Moros,17/04/2017,Lunes de Pascua
50178000000,Moros,15/05/2017,San Isidro
50179000000,Moyuela,15/05/2017,
50179000000,Moyuela,23/11/2017,
50180000000,Mozota,22/07/2017,Sta. Mª Magdalena
50180000000,Mozota,27/09/2017,Los Santicos
50181000000,Muel,10/07/2017,San Cristóbal
50181000000,Muel,08/09/2017,Virgen de la Fuente
50182000000,Muela (La),13/06/2017,San Antonio de Padua
50182000000,Muela (La),23/11/2017,San Clemente
50183000000,Munébrega,03/02/2017,San Blas
50183000000,Munébrega,15/05/2017,Virgen del Mar y de la Cuesta
50184000000,Murero,09/05/2017,San Gregorio
50184000000,Murero,17/08/2017,San Mames
,Murillo de Gállego,03/02/2017,
,Murillo de Gállego,24/08/2017,
50186000000,Navardún,09/05/2017,San Gregorio
50186000000,Navardún,16/08/2017,Virgen de la Asunción
50187000000,Nigüella,10/08/2017,
50187000000,Nigüella,11/08/2017,
50188000000,Nombrevilla,,
50188000000,Nombrevilla,,
50189000000,Nonaspe,17/04/2017,Lunes de Pascua
50189000000,Nonaspe,24/08/2017,San Bartolomé
50190000000,Novallas,30/06/2017,
50190000000,Novallas,04/12/2017,
50191000000,Novillas,07/10/2017,Virgen del Rosario
50191000000,Novillas,14/12/2017,San Nicasio
,Nuévalos,23/01/2017,San Sebastián
,Nuévalos,25/08/2017,Virgen de los Albares
50193000000,Nuez de Ebro,02/10/2017,
50193000000,Nuez de Ebro,10/11/2017,
50194000000,Olvés,24/08/2017,Festividad de la Cruz
50194000000,Olvés,25/08/2017,La Virgen y San Roque
,Ontinar de Salz,15/05/2017,
,Ontinar de Salz,01/09/2017,
50195000000,Orcajo,,
50195000000,Orcajo,,
50196000000,Orera,25/07/2017,Santiago Apóstol
50196000000,Orera,26/07/2017,Santa Ana
50197000000,Orés,20/01/2017,San Sebastián
50197000000,Orés,18/08/2017,San Bartolomé
,Oseja,,
,Oseja,,
50199000000,Osera de Ebro,,
50199000000,Osera de Ebro,,
50200000000,Paniza,19/05/2017,Santa Quiteria
50200000000,Paniza,08/09/2017,Virgen del Águila
50201000000,Paracuellos de Jiloca,03/05/2017,Santa Cruz
50201000000,Paracuellos de Jiloca,11/12/2017,Santa Eulalia
50201000000,Paracuellos de la Ribera,06/02/2017,San Pedro
50202000000,Paracuellos de la Ribera,12/04/2017,Miércoles Santo
50203000000,Pastriz,29/06/2017,San Pedro
50203000000,Pastriz,26/07/2017,Santa Ana
50204000000,Pedrola,15/05/2017,
50204000000,Pedrola,16/08/2017,
